row_id,pid,rlabel,ip,dateadded,datemodified,microsecs,ranknum,qnum,p,probdif,choseGamble
1,31703,n,ip_00456,2017-08-03 21:46:18,2017-08-03 21:46:18,10075,5,1,0.50,0.50,0
2,31703,n,ip_00456,2017-08-03 21:46:22,2017-08-03 21:46:22,3585,5,2,0.75,0.25,0
3,31703,n,ip_00456,2017-08-03 21:46:26,2017-08-03 21:46:26,3657,5,3,0.88,0.13,0
4,31703,n,ip_00456,2017-08-03 21:46:30,2017-08-03 21:46:30,4379,5,4,0.94,0.06,0
5,31703,n,ip_00456,2017-08-03 21:46:35,2017-08-03 21:46:35,4207,5,5,0.97,0.03,0
6,31703,n,ip_00456,2017-08-03 21:49:53,2017-08-03 21:49:53,3864,5,5,0.97,0.03,0
7,31703,n,ip_00456,2017-08-03 21:50:00,2017-08-03 21:50:00,5276,4,1,0.50,0.50,1
8,31703,n,ip_00456,2017-08-03 21:50:19,2017-08-03 21:50:19,18382,4,2,0.25,0.25,1
9,31703,n,ip_00456,2017-08-03 21:50:22,2017-08-03 21:50:22,3097,4,3,0.13,0.13,1
10,31703,n,ip_00456,2017-08-03 21:50:25,2017-08-03 21:50:25,3055,4,4,0.06,0.06,1
11,31703,n,ip_00456,2017-08-03 21:50:29,2017-08-03 21:50:29,3254,4,5,0.03,0.03,1
12,31703,n,ip_00456,2017-08-03 21:51:09,2017-08-03 21:51:09,3164,3,1,0.50,0.50,1
13,31703,n,ip_00456,2017-08-03 21:51:12,2017-08-03 21:51:12,2456,3,2,0.25,0.25,1
14,31703,n,ip_00456,2017-08-03 21:51:14,2017-08-03 21:51:14,2334,3,3,0.13,0.13,1
15,31703,n,ip_00456,2017-08-03 21:51:17,2017-08-03 21:51:17,2599,3,4,0.06,0.06,1
16,31703,n,ip_00456,2017-08-03 21:51:20,2017-08-03 21:51:20,3154,3,5,0.03,0.03,1
17,31703,n,ip_00456,2017-08-03 21:53:25,2017-08-03 21:53:25,107391,2,1,0.50,0.50,1
18,31703,n,ip_00456,2017-08-03 21:53:28,2017-08-03 21:53:28,3011,2,2,0.25,0.25,1
19,31703,n,ip_00456,2017-08-03 21:53:31,2017-08-03 21:53:31,2789,2,3,0.13,0.13,1
20,31703,n,ip_00456,2017-08-03 21:53:33,2017-08-03 21:53:33,2373,2,4,0.06,0.06,1
21,31703,n,ip_00456,2017-08-03 21:53:36,2017-08-03 21:53:36,2408,2,5,0.03,0.03,1
22,31704,n,ip_01325,2017-08-04 09:49:26,2017-08-04 09:49:26,48129,5,1,0.50,0.50,0
23,31704,n,ip_01325,2017-08-04 10:13:21,2017-08-04 10:13:21,364041,5,1,0.50,0.50,1
24,31704,n,ip_01325,2017-08-04 10:13:30,2017-08-04 10:13:30,8765,5,2,0.25,0.25,1
25,31704,n,ip_01325,2017-08-04 10:13:40,2017-08-04 10:13:40,9656,5,3,0.13,0.13,0
26,31704,n,ip_01325,2017-08-04 10:13:45,2017-08-04 10:13:45,5225,5,4,0.19,0.06,1
27,31704,n,ip_01325,2017-08-04 10:13:58,2017-08-04 10:13:58,12369,5,5,0.16,0.03,0
28,31704,n,ip_01325,2017-08-04 10:14:49,2017-08-04 10:14:49,13576,4,1,0.50,0.50,0
29,31704,n,ip_01325,2017-08-04 10:14:52,2017-08-04 10:14:52,2587,4,2,0.75,0.25,1
30,31704,n,ip_01325,2017-08-04 10:14:53,2017-08-04 10:14:53,1220,4,3,0.63,0.13,1
31,31704,n,ip_01325,2017-08-04 10:14:55,2017-08-04 10:14:55,1954,4,4,0.56,0.06,0
32,31704,n,ip_01325,2017-08-04 10:14:56,2017-08-04 10:14:56,1135,4,5,0.59,0.03,1
33,31704,n,ip_01325,2017-08-04 10:15:15,2017-08-04 10:15:15,3238,3,1,0.50,0.50,1
34,31704,n,ip_01325,2017-08-04 10:15:17,2017-08-04 10:15:17,1317,3,2,0.25,0.25,0
35,31704,n,ip_01325,2017-08-04 10:15:18,2017-08-04 10:15:18,1152,3,3,0.38,0.13,1
36,31704,n,ip_01325,2017-08-04 10:15:19,2017-08-04 10:15:19,1134,3,4,0.31,0.06,0
37,31704,n,ip_01325,2017-08-04 10:15:20,2017-08-04 10:15:20,1224,3,5,0.34,0.03,1
38,31704,n,ip_01325,2017-08-04 10:15:28,2017-08-04 10:15:28,3292,2,1,0.50,0.50,0
39,31704,n,ip_01325,2017-08-04 10:15:36,2017-08-04 10:15:36,8510,2,2,0.75,0.25,1
40,31704,n,ip_01325,2017-08-04 10:15:39,2017-08-04 10:15:39,2535,2,3,0.63,0.13,0
41,31704,n,ip_01325,2017-08-04 10:15:40,2017-08-04 10:15:40,1133,2,4,0.69,0.06,1
42,31704,n,ip_01325,2017-08-04 10:15:42,2017-08-04 10:15:42,1295,2,5,0.66,0.03,1
43,31703,n,ip_01325,2017-08-04 10:24:52,2017-08-04 10:24:52,2579,5,1,0.50,0.50,0
44,31703,n,ip_01325,2017-08-04 10:24:54,2017-08-04 10:24:54,1058,5,2,0.75,0.25,0
45,31703,n,ip_01325,2017-08-04 10:24:57,2017-08-04 10:24:57,2651,5,3,0.88,0.13,0
46,31703,n,ip_01325,2017-08-04 10:24:59,2017-08-04 10:24:59,1608,5,4,0.94,0.06,0
47,31703,n,ip_01325,2017-08-04 10:25:00,2017-08-04 10:25:00,1625,5,5,0.97,0.03,0
48,31703,n,ip_01325,2017-08-04 10:25:03,2017-08-04 10:25:03,1563,4,1,0.50,0.50,0
49,31703,n,ip_01325,2017-08-04 10:25:05,2017-08-04 10:25:05,1707,4,2,0.75,0.25,0
50,31703,n,ip_01325,2017-08-04 10:25:07,2017-08-04 10:25:07,1620,4,3,0.88,0.13,0
51,31703,n,ip_01325,2017-08-04 10:25:09,2017-08-04 10:25:09,1500,4,4,0.94,0.06,0
52,31703,n,ip_01325,2017-08-04 10:25:11,2017-08-04 10:25:11,1832,4,5,0.97,0.03,0
53,31703,n,ip_01325,2017-08-04 10:25:14,2017-08-04 10:25:14,1819,3,1,0.50,0.50,0
54,31703,n,ip_01325,2017-08-04 10:25:16,2017-08-04 10:25:16,1989,3,2,0.75,0.25,0
55,31703,n,ip_01325,2017-08-04 10:25:18,2017-08-04 10:25:18,1867,3,3,0.88,0.13,0
56,31703,n,ip_01325,2017-08-04 10:25:20,2017-08-04 10:25:20,2035,3,4,0.94,0.06,0
57,31703,n,ip_01325,2017-08-04 10:25:23,2017-08-04 10:25:23,2230,3,5,0.97,0.03,0
58,31703,n,ip_01325,2017-08-04 10:25:26,2017-08-04 10:25:26,2026,2,1,0.50,0.50,1
59,31703,n,ip_01325,2017-08-04 10:25:28,2017-08-04 10:25:28,1980,2,2,0.25,0.25,1
60,31703,n,ip_01325,2017-08-04 10:25:30,2017-08-04 10:25:30,1772,2,3,0.13,0.13,1
61,31703,n,ip_01325,2017-08-04 10:25:31,2017-08-04 10:25:31,1301,2,4,0.06,0.06,1
62,31703,n,ip_01325,2017-08-04 10:25:33,2017-08-04 10:25:33,1595,2,5,0.03,0.03,1
